[INFO ] 2017-09-06 16:57:27,639 --pool-8-thread-4-- [com.avalon.ms.schedule.task.service.PrintService] http response 200 
[INFO ] 2017-09-06 16:57:27,639 --pool-8-thread-4-- [com.avalon.ms.schedule.task.service.PrintService] http response content {city:3} 
[INFO ] 2017-09-06 16:57:57,640 --pool-8-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-06 16:57:57,643 --pool-1-thread-3-- [com.avalon.ms.schedule.task.service.PrintService] print task end! 
[INFO ] 2017-09-06 16:58:57,644 --pool-1-thread-3-- [com.avalon.ms.schedule.task.service.PrintService] print task start! size 5 
[INFO ] 2017-09-06 16:58:57,656 --pool-9-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
[INFO ] 2017-09-06 16:58:57,673 --pool-9-thread-4-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
[INFO ] 2017-09-06 16:58:57,681 --pool-9-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
[INFO ] 2017-09-06 16:58:57,687 --pool-9-thread-3-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
[INFO ] 2017-09-06 16:59:02,667 --pool-9-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-06 16:59:02,667 --pool-9-thread-1-- [com.avalon.ms.schedule.task.service.PrintService] http response 200 
[INFO ] 2017-09-06 16:59:02,667 --pool-9-thread-1-- [com.avalon.ms.schedule.task.service.PrintService] http response content {city:0} 
[INFO ] 2017-09-06 16:59:02,680 --pool-9-thread-4-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-06 16:59:02,680 --pool-9-thread-4-- [com.avalon.ms.schedule.task.service.PrintService] http response 200 
[INFO ] 2017-09-06 16:59:02,681 --pool-9-thread-4-- [com.avalon.ms.schedule.task.service.PrintService] http response content {city:3} 
[INFO ] 2017-09-06 16:59:02,681 --pool-9-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
[INFO ] 2017-09-06 16:59:02,691 --pool-9-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-06 16:59:02,691 --pool-9-thread-2-- [com.avalon.ms.schedule.task.service.PrintService] http response 200 
[INFO ] 2017-09-06 16:59:02,692 --pool-9-thread-2-- [com.avalon.ms.schedule.task.service.PrintService] http response content {city:1} 
[INFO ] 2017-09-06 16:59:02,695 --pool-9-thread-3-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-06 16:59:02,695 --pool-9-thread-3-- [com.avalon.ms.schedule.task.service.PrintService] http response 200 
[INFO ] 2017-09-06 16:59:02,696 --pool-9-thread-3-- [com.avalon.ms.schedule.task.service.PrintService] http response content {city:2} 
[INFO ] 2017-09-06 16:59:32,685 --pool-9-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-06 16:59:32,686 --pool-1-thread-3-- [com.avalon.ms.schedule.task.service.PrintService] print task end! 
[INFO ] 2017-09-06 17:00:32,685 --pool-1-thread-3-- [com.avalon.ms.schedule.task.service.PrintService] print task start! size 5 
[INFO ] 2017-09-06 17:00:32,695 --pool-10-thread-4-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
[INFO ] 2017-09-06 17:00:32,702 --pool-10-thread-3-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
[INFO ] 2017-09-06 17:00:32,703 --pool-10-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
[INFO ] 2017-09-06 17:00:32,709 --pool-10-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
